GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US250250404012,250250404012,"Block Group 2, Census Tract 404.01, Suffolk County, Massachusetts",687,192,687,192,661,197,0,12,0,12,26,36,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250250406001,250250406001,"Block Group 1, Census Tract 406, Suffolk County, Massachusetts",1139,206,1092,207,830,206,130,93,0,12,64,53,0,12,10,16,58,48,0,12,58,48,47,50,25,41,20,27,0,12,0,12,0,12,2,4,0,12,0,12,0,12
1500000US250250406002,250250406002,"Block Group 2, Census Tract 406, Suffolk County, Massachusetts",1733,258,1700,258,1664,243,0,12,0,12,36,34,0,12,0,12,0,12,0,12,0,12,33,54,33,54,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250250408011,250250408011,"Block Group 1, Census Tract 408.01, Suffolk County, Massachusetts",993,229,670,186,80,77,551,186,0,12,7,12,0,12,0,12,32,32,12,20,20,23,323,171,114,147,120,79,0,12,0,12,0,12,89,78,0,12,0,12,0,12
1500000US250250408012,250250408012,"Block Group 2, Census Tract 408.01, Suffolk County, Massachusetts",1084,350,726,226,111,126,37,58,0,12,573,253,0,12,5,12,0,12,0,12,0,12,358,333,0,12,165,265,0,12,0,12,0,12,159,202,34,53,0,12,34,53
1500000US250250408013,250250408013,"Block Group 3, Census Tract 408.01, Suffolk County, Massachusetts",2021,213,1812,194,1656,193,10,24,0,12,128,88,0,12,0,12,18,27,0,12,18,27,209,161,188,152,0,12,0,12,0,12,0,12,21,27,0,12,0,12,0,12
1500000US250250501011,250250501011,"Block Group 1, Census Tract 501.01, Suffolk County, Massachusetts",2011,419,454,189,293,154,43,42,0,12,78,79,0,12,0,12,40,39,0,12,40,39,1557,420,621,376,48,78,213,292,0,12,0,12,169,138,506,369,0,12,506,369
1500000US250250501012,250250501012,"Block Group 2, Census Tract 501.01, Suffolk County, Massachusetts",2007,553,783,250,529,219,46,47,0,12,168,114,0,12,0,12,40,39,0,12,40,39,1224,570,576,281,17,26,0,12,0,12,0,12,284,251,347,340,0,12,347,340
1500000US250250501013,250250501013,"Block Group 3, Census Tract 501.01, Suffolk County, Massachusetts",1469,345,785,232,630,176,81,88,0,12,74,118,0,12,0,12,0,12,0,12,0,12,684,304,462,231,0,12,0,12,0,12,0,12,13,21,209,171,0,12,209,171
1500000US250250502001,250250502001,"Block Group 1, Census Tract 502, Suffolk County, Massachusetts",2503,609,721,281,506,192,84,71,0,12,9,15,0,12,0,12,122,153,0,12,122,153,1782,611,1167,522,0,12,0,12,0,12,0,12,0,12,615,314,103,114,512,301
1500000US250250502002,250250502002,"Block Group 2, Census Tract 502, Suffolk County, Massachusetts",975,242,523,162,420,148,39,50,0,12,32,58,0,12,0,12,32,38,0,12,32,38,452,209,281,150,11,19,0,12,0,12,0,12,36,60,124,155,0,12,124,155
1500000US250250502003,250250502003,"Block Group 3, Census Tract 502, Suffolk County, Massachusetts",1013,427,155,105,98,62,57,85,0,12,0,12,0,12,0,12,0,12,0,12,0,12,858,434,282,308,0,12,0,12,32,49,0,12,109,154,435,312,23,37,412,310
1500000US250250502004,250250502004,"Block Group 4, Census Tract 502, Suffolk County, Massachusetts",1592,540,259,224,38,38,30,45,0,12,80,125,0,12,0,12,111,175,0,12,111,175,1333,482,723,316,9,16,0,12,0,12,0,12,77,97,524,387,0,12,524,387
1500000US250250503001,250250503001,"Block Group 1, Census Tract 503, Suffolk County, Massachusetts",653,199,261,83,170,70,53,51,0,12,0,12,0,12,5,8,33,22,13,19,20,18,392,186,143,103,0,12,0,12,0,12,0,12,75,98,174,150,15,20,159,150
1500000US250250503002,250250503002,"Block Group 2, Census Tract 503, Suffolk County, Massachusetts",1489,176,922,145,567,140,135,83,0,12,153,57,0,12,0,12,67,47,0,12,67,47,567,163,441,175,40,40,0,12,0,12,0,12,34,30,52,41,5,7,47,41
1500000US250250504001,250250504001,"Block Group 1, Census Tract 504, Suffolk County, Massachusetts",750,184,345,135,238,102,11,16,0,12,12,16,0,12,0,12,84,60,3,7,81,60,405,145,348,149,0,12,0,12,0,12,0,12,10,18,47,61,0,12,47,61
1500000US250250504002,250250504002,"Block Group 2, Census Tract 504, Suffolk County, Massachusetts",1687,312,729,99,634,85,39,34,0,12,18,27,0,12,8,10,30,29,17,21,13,20,958,309,661,294,0,12,13,19,0,12,0,12,130,88,154,115,29,40,125,103
1500000US250250505001,250250505001,"Block Group 1, Census Tract 505, Suffolk County, Massachusetts",2305,254,1012,184,908,179,46,39,0,12,39,44,0,12,0,12,19,20,8,11,11,17,1293,284,873,263,0,12,0,12,0,12,0,12,16,19,404,183,8,12,396,180
1500000US250250506001,250250506001,"Block Group 1, Census Tract 506, Suffolk County, Massachusetts",1474,370,378,141,301,131,0,12,0,12,27,39,0,12,0,12,50,49,24,37,26,33,1096,375,642,246,33,45,0,12,0,12,0,12,123,152,298,190,0,12,298,190
1500000US250250506002,250250506002,"Block Group 2, Census Tract 506, Suffolk County, Massachusetts",818,238,278,74,183,70,72,62,0,12,17,26,0,12,0,12,6,8,0,12,6,8,540,231,307,177,4,7,0,12,0,12,0,12,0,12,229,127,0,12,229,127
1500000US250250507001,250250507001,"Block Group 1, Census Tract 507, Suffolk County, Massachusetts",2902,540,797,257,479,166,0,12,28,43,0,12,0,12,9,13,281,219,0,12,281,219,2105,575,849,377,0,12,0,12,0,12,0,12,127,104,1129,363,27,30,1102,367
1500000US250250507002,250250507002,"Block Group 2, Census Tract 507, Suffolk County, Massachusetts",1132,357,411,201,395,203,2,4,0,12,14,21,0,12,0,12,0,12,0,12,0,12,721,334,406,253,0,12,0,12,0,12,0,12,18,29,297,186,0,12,297,186
1500000US250250507003,250250507003,"Block Group 3, Census Tract 507, Suffolk County, Massachusetts",1277,368,321,133,252,96,0,12,0,12,0,12,0,12,0,12,69,90,0,12,69,90,956,375,340,232,0,12,0,12,0,12,0,12,149,149,467,299,0,12,467,299
1500000US250250509011,250250509011,"Block Group 1, Census Tract 509.01, Suffolk County, Massachusetts",1560,386,400,127,302,135,22,36,0,12,29,44,0,12,0,12,47,75,0,12,47,75,1160,376,793,277,0,12,0,12,0,12,0,12,0,12,367,272,0,12,367,272
1500000US250250509012,250250509012,"Block Group 2, Census Tract 509.01, Suffolk County, Massachusetts",2572,419,783,189,541,179,0,12,0,12,101,90,0,12,12,17,129,94,25,35,104,85,1789,430,743,296,12,25,0,12,0,12,0,12,9,14,1025,399,113,123,912,380
1500000US250250509013,250250509013,"Block Group 3, Census Tract 509.01, Suffolk County, Massachusetts",608,239,266,137,136,77,40,64,0,12,60,84,0,12,22,36,8,12,8,12,0,12,342,213,94,81,0,12,0,12,0,12,0,12,0,12,248,200,26,37,222,199
