GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1500000US250250004012,250250004012,"Block Group 2, Census Tract 4.01, Suffolk County, Massachusetts",394,113,50,47,0,12,0,12,48,34,0,12,9,14,7,12,15,23,0,12,96,90,0,12,14,22,70,53,0,12,28,34,57,76
1500000US250250004013,250250004013,"Block Group 3, Census Tract 4.01, Suffolk County, Massachusetts",368,82,49,44,14,21,19,31,0,12,11,17,0,12,12,18,0,12,42,42,0,12,28,31,24,19,64,42,31,37,74,53,0,12
1500000US250250004014,250250004014,"Block Group 4, Census Tract 4.01, Suffolk County, Massachusetts",1120,142,295,118,294,122,41,34,121,88,11,18,12,19,15,24,0,12,28,26,26,32,90,79,60,41,56,51,13,20,19,24,39,34
1500000US250250004021,250250004021,"Block Group 1, Census Tract 4.02, Suffolk County, Massachusetts",499,88,106,65,41,33,12,13,18,19,15,15,4,6,46,47,26,25,7,12,57,47,29,31,42,32,38,27,15,17,35,28,8,13
1500000US250250004022,250250004022,"Block Group 2, Census Tract 4.02, Suffolk County, Massachusetts",367,80,29,27,6,10,0,12,9,14,56,56,17,18,29,44,5,8,11,14,45,46,64,65,31,28,45,29,6,11,14,16,0,12
1500000US250250004023,250250004023,"Block Group 3, Census Tract 4.02, Suffolk County, Massachusetts",497,100,36,25,7,12,13,15,25,46,39,49,46,50,8,12,0,12,30,39,94,61,61,50,34,24,13,17,27,18,59,49,5,11
1500000US250250005021,250250005021,"Block Group 1, Census Tract 5.02, Suffolk County, Massachusetts",455,84,45,45,6,9,18,24,7,11,35,42,20,20,7,11,24,38,6,9,41,29,68,35,45,33,49,34,15,17,16,13,53,44
1500000US250250005022,250250005022,"Block Group 2, Census Tract 5.02, Suffolk County, Massachusetts",468,103,38,31,47,74,62,57,23,24,24,22,18,19,13,20,16,14,43,34,30,28,13,17,37,29,34,28,0,12,46,33,24,22
1500000US250250005023,250250005023,"Block Group 3, Census Tract 5.02, Suffolk County, Massachusetts",800,89,205,82,91,46,43,26,38,39,33,27,30,30,5,7,10,15,22,20,41,26,57,33,116,67,44,38,25,27,21,23,19,19
1500000US250250005024,250250005024,"Block Group 4, Census Tract 5.02, Suffolk County, Massachusetts",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US250250005031,250250005031,"Block Group 1, Census Tract 5.03, Suffolk County, Massachusetts",410,82,59,38,0,12,3,8,24,39,39,36,0,12,8,15,16,17,24,38,0,12,93,61,55,43,46,32,3,5,40,44,0,12
1500000US250250005032,250250005032,"Block Group 2, Census Tract 5.03, Suffolk County, Massachusetts",820,86,201,83,22,28,14,19,43,35,31,32,15,17,7,11,48,38,7,13,92,49,136,61,93,57,32,24,46,25,8,13,25,24
1500000US250250005041,250250005041,"Block Group 1, Census Tract 5.04, Suffolk County, Massachusetts",554,128,66,57,14,23,78,80,4,9,0,12,34,42,21,28,83,93,39,37,34,40,25,28,32,27,71,64,35,43,18,29,0,12
1500000US250250005042,250250005042,"Block Group 2, Census Tract 5.04, Suffolk County, Massachusetts",807,133,180,90,157,79,37,35,17,23,95,100,21,33,10,16,41,49,24,29,67,74,50,35,40,41,34,39,13,21,21,24,0,12
1500000US250250005043,250250005043,"Block Group 3, Census Tract 5.04, Suffolk County, Massachusetts",572,98,40,53,39,48,23,36,26,23,0,12,0,12,28,32,4,9,16,25,56,52,144,73,76,53,0,12,71,76,16,25,33,34
1500000US250250005044,250250005044,"Block Group 4, Census Tract 5.04, Suffolk County, Massachusetts",443,108,131,83,87,64,17,27,43,49,0,12,0,12,0,12,0,12,0,12,68,82,12,21,17,28,57,69,0,12,11,18,0,12
1500000US250250006011,250250006011,"Block Group 1, Census Tract 6.01, Suffolk County, Massachusetts",137,41,15,17,0,12,8,14,8,13,0,12,0,12,0,12,0,12,3,7,22,20,7,11,7,12,35,31,8,11,7,11,17,25
1500000US250250006012,250250006012,"Block Group 2, Census Tract 6.01, Suffolk County, Massachusetts",510,80,68,46,22,35,0,12,9,15,45,40,13,16,22,24,14,14,39,41,24,23,75,43,55,38,49,31,9,14,29,38,37,32
