GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
1500000US250250001001,250250001001,"Block Group 1, Census Tract 1, Suffolk County, Massachusetts",543,125,177,73,366,122
1500000US250250001002,250250001002,"Block Group 2, Census Tract 1, Suffolk County, Massachusetts",405,110,102,49,303,102
1500000US250250001003,250250001003,"Block Group 3, Census Tract 1, Suffolk County, Massachusetts",191,76,37,32,154,75
1500000US250250001004,250250001004,"Block Group 4, Census Tract 1, Suffolk County, Massachusetts",363,112,59,32,304,108
1500000US250250002011,250250002011,"Block Group 1, Census Tract 2.01, Suffolk County, Massachusetts",381,69,155,59,226,68
1500000US250250002012,250250002012,"Block Group 2, Census Tract 2.01, Suffolk County, Massachusetts",146,62,67,39,79,52
1500000US250250002013,250250002013,"Block Group 3, Census Tract 2.01, Suffolk County, Massachusetts",503,86,161,61,342,82
1500000US250250002014,250250002014,"Block Group 4, Census Tract 2.01, Suffolk County, Massachusetts",311,72,54,38,257,72
1500000US250250002021,250250002021,"Block Group 1, Census Tract 2.02, Suffolk County, Massachusetts",438,92,158,67,280,83
1500000US250250002022,250250002022,"Block Group 2, Census Tract 2.02, Suffolk County, Massachusetts",372,73,148,51,224,69
1500000US250250002023,250250002023,"Block Group 3, Census Tract 2.02, Suffolk County, Massachusetts",314,82,89,36,225,81
1500000US250250002024,250250002024,"Block Group 4, Census Tract 2.02, Suffolk County, Massachusetts",216,84,0,12,216,84
1500000US250250003011,250250003011,"Block Group 1, Census Tract 3.01, Suffolk County, Massachusetts",261,60,176,64,85,63
1500000US250250003012,250250003012,"Block Group 2, Census Tract 3.01, Suffolk County, Massachusetts",296,88,93,45,203,93
1500000US250250003013,250250003013,"Block Group 3, Census Tract 3.01, Suffolk County, Massachusetts",231,64,67,53,164,77
1500000US250250003014,250250003014,"Block Group 4, Census Tract 3.01, Suffolk County, Massachusetts",306,68,128,56,178,59
1500000US250250003021,250250003021,"Block Group 1, Census Tract 3.02, Suffolk County, Massachusetts",494,88,258,81,236,74
1500000US250250003022,250250003022,"Block Group 2, Census Tract 3.02, Suffolk County, Massachusetts",710,82,392,87,318,88
1500000US250250004011,250250004011,"Block Group 1, Census Tract 4.01, Suffolk County, Massachusetts",651,110,99,79,552,103
1500000US250250004012,250250004012,"Block Group 2, Census Tract 4.01, Suffolk County, Massachusetts",394,113,41,39,353,115
1500000US250250004013,250250004013,"Block Group 3, Census Tract 4.01, Suffolk County, Massachusetts",368,82,112,57,256,72
1500000US250250004014,250250004014,"Block Group 4, Census Tract 4.01, Suffolk County, Massachusetts",1120,142,85,52,1035,142
1500000US250250004021,250250004021,"Block Group 1, Census Tract 4.02, Suffolk County, Massachusetts",499,88,191,70,308,74
1500000US250250004022,250250004022,"Block Group 2, Census Tract 4.02, Suffolk County, Massachusetts",367,80,104,74,263,82
1500000US250250004023,250250004023,"Block Group 3, Census Tract 4.02, Suffolk County, Massachusetts",497,100,153,58,344,89
1500000US250250005021,250250005021,"Block Group 1, Census Tract 5.02, Suffolk County, Massachusetts",455,84,165,51,290,83
1500000US250250005022,250250005022,"Block Group 2, Census Tract 5.02, Suffolk County, Massachusetts",468,103,36,24,432,104
1500000US250250005023,250250005023,"Block Group 3, Census Tract 5.02, Suffolk County, Massachusetts",800,89,97,60,703,88
1500000US250250005024,250250005024,"Block Group 4, Census Tract 5.02, Suffolk County, Massachusetts",0,12,0,12,0,12
1500000US250250005031,250250005031,"Block Group 1, Census Tract 5.03, Suffolk County, Massachusetts",410,82,106,44,304,81
1500000US250250005032,250250005032,"Block Group 2, Census Tract 5.03, Suffolk County, Massachusetts",820,86,93,46,727,93
1500000US250250005041,250250005041,"Block Group 1, Census Tract 5.04, Suffolk County, Massachusetts",554,128,54,45,500,130
1500000US250250005042,250250005042,"Block Group 2, Census Tract 5.04, Suffolk County, Massachusetts",807,133,130,53,677,139
1500000US250250005043,250250005043,"Block Group 3, Census Tract 5.04, Suffolk County, Massachusetts",572,98,85,56,487,100
1500000US250250005044,250250005044,"Block Group 4, Census Tract 5.04, Suffolk County, Massachusetts",443,108,0,12,443,108
1500000US250250006011,250250006011,"Block Group 1, Census Tract 6.01, Suffolk County, Massachusetts",137,41,76,33,61,32
1500000US250250006012,250250006012,"Block Group 2, Census Tract 6.01, Suffolk County, Massachusetts",510,80,114,43,396,81
