geoid,name,B01003001,"B01003001, Error"
86000US02558,02558,1322,511
86000US02571,02571,11229,906
86000US02576,02576,4763,759
86000US02738,02738,4979,20
86000US02739,02739,6176,25
86000US02762,02762,8735,27
86000US02770,02770,5150,255
86000US03032,03032,5141,28
86000US03034,03034,3948,55
86000US03036,03036,4825,38
86000US03037,03037,4314,61
86000US03038,03038,33561,185
86000US03042,03042,6636,48
86000US03044,03044,4319,153
86000US03053,03053,24237,173
86000US03077,03077,10375,152
86000US03079,03079,28853,33
86000US03087,03087,14104,20
86000US03103,03103,37219,1073
86000US03225,03225,3505,293
86000US03261,03261,4281,27
86000US03290,03290,4801,51
86000US03291,03291,26,22
86000US03801,03801,22163,115
86000US03811,03811,6796,16
86000US03819,03819,4446,19
86000US03820,03820,30560,27
86000US03823,03823,1832,189
86000US03824,03824,15669,34
86000US03825,03825,8710,63
86000US03826,03826,2385,317
86000US03827,03827,3365,190
86000US03833,03833,21199,177
86000US03835,03835,6825,16
86000US03839,03839,3965,344
86000US03840,03840,3895,280
86000US03841,03841,6317,342
86000US03842,03842,15060,50
86000US03844,03844,2320,123
86000US03848,03848,6077,16
86000US03851,03851,3910,197
86000US03852,03852,696,194
86000US03854,03854,974,194
86000US03855,03855,2653,19
86000US03856,03856,1618,217
86000US03857,03857,8937,77
86000US03858,03858,4752,24
86000US03861,03861,4363,33
86000US03862,03862,4361,27
86000US03865,03865,7601,19
86000US03867,03867,20713,707
86000US03868,03868,5315,632
86000US03869,03869,2462,51
86000US03870,03870,5306,60
86000US03871,03871,35,57
86000US03873,03873,5993,121
86000US03874,03874,8836,49
86000US03878,03878,11841,54
86000US03884,03884,4036,27
86000US03885,03885,7149,277
86000US03887,03887,2041,264
